Decimal Day of Year in 2022 (UTC), HRRR Air Temp (*C), HRRR Precip (mm), Incoming Shortwave (W/m^2), Surface Temp (*C), HRRR 4 cm Soil Temp (*C), HRRR 10 cm Soil Temp (*C), HRRR 100 cm Soil Temp (*C), HRRR 4 cm Soil Water (m^3 m^-3), HRRR 10 cm Soil Water (m^3 m^-3), HRRR 100 cm Soil Water (m^3 m^-3)
1.04167, 14.8302, 9999.00, 354.560, 13.9900, 14.4700, 14.6200, 11.4900, 0.204000, 0.216000, 0.223000
1.08333, 14.4427, 9999.00, 353.193, 13.7100, 14.2400, 14.5000, 11.4900, 0.204000, 0.216000, 0.223000
1.12500, 14.5057, 9999.00, 353.759, 13.8100, 14.1600, 14.4200, 11.4900, 0.203000, 0.216000, 0.223000
1.16667, 14.4373, 9999.00, 354.171, 13.8900, 14.0900, 14.2900, 11.4900, 0.203000, 0.216000, 0.223000
1.20833, 13.9947, 9999.00, 353.066, 13.6700, 13.8900, 14.0500, 11.4900, 0.204000, 0.216000, 0.223000
1.25000, 13.5959, 9999.00, 351.870, 13.4400, 13.6300, 13.8400, 11.4900, 0.207000, 0.216000, 0.223000
1.29167, 13.2891, 9999.00, 350.305, 13.1200, 13.4000, 13.6400, 11.4900, 0.213000, 0.216000, 0.223000
1.33333, 12.8477, 9999.00, 348.243, 12.7000, 13.1000, 13.3900, 11.5000, 0.221000, 0.216000, 0.223000
1.37500, 12.8900, 9999.00, 348.639, 12.7700, 13.0400, 13.2500, 11.5000, 0.228000, 0.216000, 0.223000
1.41667, 11.2616, 9999.00, 342.883, 11.5900, 12.5900, 12.9400, 11.5100, 0.235000, 0.217000, 0.223000
1.45833, 8.72583, 9999.00, 332.511, 9.42001, 11.4400, 12.6800, 11.5100, 0.241000, 0.218000, 0.223000
1.50000, 6.92133, 9999.00, 324.234, 7.64001, 9.79001, 11.8200, 11.5200, 0.252000, 0.220000, 0.224000
1.54167, 6.31351, 9999.00, 321.148, 6.95999, 9.01001, 11.1900, 11.5300, 0.278000, 0.224000, 0.224000
1.58333, 5.89120, 9999.00, 319.132, 6.51001, 8.35001, 10.5400, 11.5300, 0.299000, 0.232000, 0.224000
1.62500, 5.41214, 9999.00, 317.752, 6.22000, 7.94000, 9.94000, 11.5400, 0.329000, 0.255000, 0.224000
1.66667, 5.52182, 9999.00, 317.193, 6.08002, 7.69000, 9.42999, 11.5400, 0.347000, 0.284000, 0.224000
1.70833, 6.27927, 9999.00, 322.977, 7.37000, 7.81000, 9.05002, 11.5500, 0.327000, 0.308000, 0.224000
1.75000, 8.71735, 9999.00, 335.901, 10.1200, 9.16000, 8.94000, 11.5500, 0.320000, 0.313000, 0.224000
1.79167, 6.86996, 9999.00, 324.131, 7.61002, 7.89999, 8.22000, 11.5600, 0.321000, 0.313000, 0.224000
1.83333, 4.60532, 9999.00, 314.692, 5.54001, 6.62000, 7.60001, 11.5600, 0.323000, 0.318000, 0.224000
1.87500, 3.44315, 9999.00, 308.213, 4.09000, 5.66000, 7.11002, 11.5700, 0.321000, 0.315000, 0.224000
1.91667, 1.94205, 9999.00, 301.448, 2.56000, 4.63000, 6.69000, 11.5800, 0.320000, 0.315000, 0.224000
1.95833, 0.574066, 9999.00, 296.215, 1.35001, 3.63000, 6.12000, 11.5800, 0.314000, 0.311000, 0.224000
2.00000, -1.21793, 9999.00, 289.182, -0.290009, 2.47000, 5.36002, 11.5900, 0.309000, 0.307000, 0.224000
2.04167, -2.12842, 9999.00, 288.001, -0.559998, 1.95999, 4.75000, 11.5900, 0.305000, 0.304000, 0.224000
2.08333, -2.57095, 9999.00, 287.474, -0.679993, 1.81000, 4.22000, 11.5900, 0.302000, 0.300000, 0.224000
2.12500, -3.32840, 9999.00, 286.455, -0.919983, 1.78000, 3.78000, 11.5900, 0.298000, 0.297000, 0.224000
2.16667, -3.61453, 9999.00, 285.920, -1.04999, 1.70001, 3.36002, 11.5900, 0.295000, 0.295000, 0.224000
2.20833, -3.64084, 9999.00, 285.545, -1.13998, 1.64999, 3.05002, 11.5900, 0.292000, 0.292000, 0.224000
2.25000, -3.83298, 9999.00, 285.327, -1.20999, 1.56000, 2.78000, 11.5900, 0.290000, 0.290000, 0.224000
2.29167, -4.64371, 9999.00, 283.230, -1.69000, 1.25000, 2.55002, 11.5800, 0.288000, 0.288000, 0.224000
2.33333, -5.95242, 9999.00, 271.518, -4.54001, 0.830017, 2.28000, 11.5800, 0.286000, 0.286000, 0.224000
2.37500, -6.80637, 9999.00, 266.450, -5.82001, -0.859985, 1.84000, 11.5700, 0.285000, 0.284000, 0.224000
2.41667, -7.29544, 9999.00, 263.636, -6.51999, -3.42999, 1.66000, 11.5700, 0.284000, 0.283000, 0.224000
2.45833, -8.01462, 9999.00, 259.466, -7.60001, -5.10001, 1.02002, 11.5600, 0.284000, 0.282000, 0.224000
2.50000, -8.91031, 9999.00, 256.584, -8.32999, -5.84000, 0.330017, 11.5600, 0.284000, 0.281000, 0.224000
2.54167, -9.96402, 9999.00, 252.997, -9.26999, -6.45999, -0.380005, 11.5500, 0.283000, 0.279000, 0.224000
2.58333, -10.1654, 9999.00, 253.090, -9.22000, -6.79999, -1.17999, 11.5400, 0.283000, 0.279000, 0.224000
2.62500, -9.37589, 9999.00, 258.200, -7.89999, -6.48999, -1.85001, 11.5300, 0.283000, 0.278000, 0.224000
2.66667, -8.85995, 9999.00, 263.241, -6.60999, -5.79001, -2.29001, 11.5100, 0.283000, 0.277000, 0.224000
2.70833, -8.42154, 9999.00, 268.449, -5.29999, -5.00998, -2.47000, 11.5000, 0.283000, 0.276000, 0.224000
2.75000, -7.46829, 9999.00, 273.874, -3.97000, -4.37000, -2.56000, 11.4900, 0.282000, 0.276000, 0.224000
2.79167, -6.89493, 9999.00, 275.187, -3.64999, -3.88000, -2.47998, 11.4700, 0.282000, 0.275000, 0.224000
2.83333, -6.59555, 9999.00, 273.665, -4.01999, -3.75998, -2.38000, 11.4600, 0.282000, 0.274000, 0.224000
2.87500, -6.00687, 9999.00, 274.041, -3.91998, -3.53000, -2.20999, 11.4500, 0.281000, 0.274000, 0.224000
2.91667, -6.48511, 9999.00, 268.421, -5.32999, -3.79999, -2.04999, 11.4400, 0.280000, 0.273000, 0.224000
2.95833, -7.46329, 9999.00, 260.927, -7.19998, -4.79001, -2.00998, 11.4200, 0.280000, 0.273000, 0.224000
3.00000, -7.66812, 9999.00, 259.124, -7.66998, -5.47000, -2.07999, 11.4000, 0.280000, 0.273000, 0.224000
3.04167, -7.88107, 9999.00, 257.690, -8.01999, -5.88000, -2.26999, 11.3800, 0.279000, 0.272000, 0.224000
