Decimal Day of Year in 2022 (UTC), HRRR Air Temp (*C), HRRR Precip (mm), Incoming Shortwave (W/m^2), Surface Temp (*C), HRRR 4 cm Soil Temp (*C), HRRR 10 cm Soil Temp (*C), HRRR 100 cm Soil Temp (*C), HRRR 4 cm Soil Water (m^3 m^-3), HRRR 10 cm Soil Water (m^3 m^-3), HRRR 100 cm Soil Water (m^3 m^-3)
1.75000, 6.31674, 1.46100, 145.200, 7.61002, 8.23001, 9.44000, 11.5500, 0.299000, 0.274000, 0.224000
1.79167, 6.03546, 1.53200, 57.6000, 7.14001, 8.72000, 9.74002, 11.5600, 0.305000, 0.289000, 0.224000
1.83333, 4.49332, 0.179000, 54.5000, 5.59000, 7.33002, 9.01001, 11.5600, 0.289000, 0.277000, 0.224000
1.87500, 3.71677, 0.844000, 12.4000, 4.56000, 7.20001, 9.31000, 11.5700, 0.296000, 0.285000, 0.224000
1.91667, 2.05048, 0.333000, 6.80000, 2.78000, 5.31000, 8.08002, 11.5800, 0.284000, 0.278000, 0.224000
1.95833, 1.45151, 0.174000, 0.00000, 2.10001, 4.75000, 7.82001, 11.5800, 0.303000, 0.301000, 0.224000
2.00000, -1.06027, 0.852000, 0.00000, 0.0800171, 3.78000, 7.42999, 11.5900, 0.306000, 0.302000, 0.224000
2.04167, -1.23654, 0.00200000, 0.00000, -0.399994, 2.66000, 6.50000, 11.5900, 0.296000, 0.294000, 0.224000
2.08333, -1.59189, 0.0180000, 0.00000, -0.470001, 2.17999, 5.48001, 11.6000, 0.299000, 0.298000, 0.224000
2.12500, -2.22470, 0.0150000, 0.00000, -0.639984, 2.01001, 4.87000, 11.6000, 0.292000, 0.291000, 0.224000
2.16667, -2.20050, 0.0930000, 0.00000, -0.660004, 1.92999, 4.57001, 11.6100, 0.287000, 0.286000, 0.224000
2.20833, -2.17023, 0.0380000, 0.00000, -0.669983, 1.88000, 4.36002, 11.6100, 0.296000, 0.295000, 0.224000
2.25000, -2.15060, 0.0210000, 0.00000, -0.679993, 1.79001, 4.17001, 11.6200, 0.284000, 0.283000, 0.224000
2.29167, -2.17636, 0.0330000, 0.00000, -0.679993, 1.76001, 4.03000, 11.6200, 0.303000, 0.302000, 0.224000
2.33333, -2.49905, 0.105000, 0.00000, -0.790009, 1.70999, 3.74002, 11.6300, 0.292000, 0.291000, 0.224000
