Decimal Day of Year in 2022 (UTC), HRRR Air Temp (*C), HRRR Precip (mm), Incoming Shortwave (W/m^2), Surface Temp (*C), HRRR 4 cm Soil Temp (*C), HRRR 10 cm Soil Temp (*C), HRRR 100 cm Soil Temp (*C), HRRR 4 cm Soil Water (m^3 m^-3), HRRR 10 cm Soil Water (m^3 m^-3), HRRR 100 cm Soil Water (m^3 m^-3)
1.75000, 14.6917, 0.169000, 24.2000, 14.6700, 15.0900, 15.3800, 13.2500, 0.337000, 0.334000, 0.230000
1.79167, 14.3480, 1.49900, 46.8000, 14.7400, 15.2000, 15.5600, 13.2800, 0.376000, 0.376000, 0.230000
1.83333, 14.0558, 9.77600, 9.70000, 14.7800, 16.8900, 16.9300, 13.2800, 0.395000, 0.373000, 0.230000
1.87500, 14.7793, 1.73700, 7.90000, 14.9000, 15.5900, 16.0400, 13.3000, 0.363000, 0.362000, 0.230000
1.91667, 14.5505, 5.07500, 10.5000, 14.6600, 15.4800, 16.2200, 13.3400, 0.366000, 0.362000, 0.230000
1.95833, 14.2640, 2.34700, 0.00000, 14.4600, 15.3800, 16.2700, 13.3400, 0.368000, 0.359000, 0.231000
2.00000, 13.5647, 1.47000, 0.00000, 13.6000, 14.5500, 15.5100, 13.3500, 0.368000, 0.366000, 0.231000
2.04167, 13.2635, 0.213000, 0.00000, 13.2400, 14.3500, 15.6700, 13.3700, 0.346000, 0.346000, 0.231000
2.08333, 13.1581, 0.876000, 0.00000, 13.1800, 14.0700, 15.3700, 13.3800, 0.342000, 0.339000, 0.231000
2.12500, 13.2753, 1.11800, 0.00000, 13.2700, 13.9100, 14.8800, 13.3900, 0.348000, 0.347000, 0.231000
2.16667, 13.3620, 1.05800, 0.00000, 13.4200, 14.1200, 15.0600, 13.4100, 0.345000, 0.343000, 0.230000
2.20833, 12.5173, 0.169000, 0.00000, 12.7800, 13.4200, 14.2700, 13.4100, 0.346000, 0.346000, 0.231000
2.25000, 12.9119, 0.00200000, 0.00000, 12.8600, 13.4600, 14.1200, 13.4300, 0.337000, 0.337000, 0.231000
2.29167, 13.5736, 0.00000, 0.00000, 13.4800, 13.8800, 14.3600, 13.4300, 0.338000, 0.339000, 0.232000
2.33333, 12.7509, 0.823000, 0.00000, 13.6500, 14.4400, 14.7700, 13.4300, 0.343000, 0.341000, 0.235000
2.37500, 8.62778, 0.336000, 0.00000, 9.36002, 11.8900, 14.0700, 13.4300, 0.338000, 0.338000, 0.234000
2.41667, 7.85678, 0.259000, 0.00000, 8.55002, 11.2200, 13.7100, 13.4500, 0.340000, 0.339000, 0.235000
2.45833, 6.77908, 0.0320000, 0.00000, 7.54001, 10.1500, 12.8700, 13.4700, 0.329000, 0.329000, 0.233000
2.50000, 6.44357, 0.00300000, 0.00000, 7.16000, 9.53000, 12.2200, 13.4800, 0.321000, 0.322000, 0.232000
2.54167, 5.40848, 0.00000, 0.00000, 6.20001, 8.64999, 11.4300, 13.4900, 0.323000, 0.323000, 0.233000
2.58333, 4.66714, 0.00000, 19.4000, 5.64999, 7.98001, 10.8600, 13.4900, 0.323000, 0.324000, 0.234000
